Point,Fokontany,Commune,District,Region
Anjanakanga 10 B,Bevitiky Centre,Bevitiky,Bekily,Androy
Anjanakantitra 10 C,Andavabato,Amboanana,Arivonimamo,Itasy
Anjanakantitra 11 E,Tsaratanana,Faratsiho,Faratsiho,Vakinankaratra
Anjanamahazo 10 E,Anjanamahazo,Ambohimandry,Arivonimamo,Itasy
Anjanamangarira 10 D,Antanety Est,Ambohimandroso,Antanifotsy,Vakinankaratra
Anjanamanjaka 10 D,Anjanamanjaka Ambohitraivo,Vinaninkarena,Antsirabe II,Vakinankaratra
Anjanamarina 10 C,Ankazomihogo,Morafeno,Sambava,Sava
Anjanamasina 10 H,Mandrosoa,Anosiala,Ambohidratrimo,Analamanga
Anjanamasina 11 V,Anjanamasina,Anosiala,Ambohidratrimo,Analamanga
Anjanamasoandro 10 B,Antanetibe,Behenjy,Ambatolampy,Vakinankaratra
Anjanambo 10 E,Antanamarina,Mahadrodroka,Analalava,Sofia
Anjanamiakatra 10 B,Faravohitra,Tritriva,Betafo,Vakinankaratra
Anjanamihoatra 10 B,Ambanimaso II,Ambatolampy,Ambatolampy,Vakinankaratra
Anjanana 10 A,Anjana,Ambinanin'andravory,Vohemar,Sava
Anjanarivo 10 B,Ambohitromby,Ambohitromby,Ankazobe,Analamanga
Anjanasampana 10 D,Anjantsampa,Tsihombe,Tsihombe,Androy
Anjanavorona 10 B,Anjanavorona,Mahatsara Sud,Mananjary,Vatovavy Fitovinany
Anjanazana 10 C,Ambodipont,Ampanavoana,Antalaha,Sava
Anjanazana 11 V,Ambodivoanio,Anjanazana,Maroantsetra,Analanjirofo
Anjandarika 10 B,Antaramanana,Tanambao Vahatrakaka,Vatomandry,Atsinanana
Anjandavo 10 D,Afondravoatse Anjandavo,Kopoky,Beloha,Androy
Anjando 10 C,Anjando,Ifotaka,Amboasary-Atsimo,Anosy
Anjandoaka 10 B,Marotsiraka,Marotsiraka,Amboasary-Atsimo,Anosy
Anjandoaky 10 B,Koboary,Tranoroa,Beloha,Androy
Anjandoaky 11 C,Mikaikarivo,Marolinta,Beloha,Androy
Anjandoaky 12 D,Maromainty,Ambonaivo,Ambovombe-Androy,Androy
Anjango 10 B,Anjango,Ambolobozo,Analalava,Sofia
Anjangoverotra 10 D,Ankiakabe,Anjangoveratra,Sambava,Sava
Anjanina 10 A,Ambohipaly,Ambatomifanongoa,Ambatofinandrahana,Amoron I Mania
Anjanina 11 C,Antsangindrano,Ambatofinandrahana,Ambatofinandrahana,Amoron I Mania
Anjanina 12 C,Tsaratanana,Alakamisy,Antsirabe II,Vakinankaratra
Anjaninarivo 10 D,Bemasoandro Nord,Ampanotokana,Ambohidratrimo,Analamanga
Anjanivaro 10 B,Farafatse,Ejeda,Ampanihy Ouest,Atsimo Andrefana
Anjantelo 10 A,Ampanolora,Ambohimalaza,Ambovombe-Androy,Androy
Anjantoka 10 B,Andemby,Imanombo,Ambovombe-Androy,Androy
Anjapohy 10 V,Tefototse Andrambale,Beloha,Beloha,Androy
Anjaranombimainty 10 A,Ambatomainty,Tsiafajavona Ankaratra,Ambatolampy,Vakinankaratra
Anjaribe 10 B,Andrafainkona,Andrafainkona,Vohemar,Sava
Anjaridaina 10 A,Beroroha Ville I,Beroroha,Beroroha,Atsimo Andrefana
Anjaridaina 11 B,Morafeno,Morafeno,Mananjary,Vatovavy Fitovinany
Anjaridaina 12 B,Antaranivola,Mahabako,Manakara Atsimo,Vatovavy Fitovinany
Anjaro 10 D,Anjaro,Ambodimanary,Antsohihy,Sofia
Anjasivy 10 B,Ambango,Mandabe,Mahabo,Menabe
Anjasoatanimbary 10 C,Anja Soatanimbary,Satrokala,Ihosy,Ihorombe
Anjatakary 10 E,Befamonty,Bevitiky,Bekily,Androy
Anjatanimena 10 H,Anjanatanimena I,Sarisambo,Taolagnaro,Anosy
Anjatelo 10 A,Bemelo,Belamoty,Betioky Atsimo,Atsimo Andrefana
Anjatelo 11 B,Ambinda,Analaiva,Morondava,Menabe
Anjatelo 12 B,Ambotry,Betanty (Faux Cap),Tsihombe,Androy
Anjatelo 13 D,Anjatelo I,Ampamata,Ambovombe-Androy,Androy
Anjatelo 14 E,Anjatelo,Ampanihy,Mahabo,Menabe
Anjateto 10 D,Ankilimarovahatse,Lazarivo,Betioky Atsimo,Atsimo Andrefana
Anjato 10 F,Vohiboro,Ianapera,Benenitra,Atsimo Andrefana
Anjatoka 10 A,Bekinagna,Ejeda,Ampanihy Ouest,Atsimo Andrefana
Anjatoka 11 C,Behazomanga,Tsihombe,Tsihombe,Androy
Anjatovo Ambany 10 C,Tsinaha,Kopoky,Beloha,Androy
Anjatovo Ambony 10 C,Tsinaha,Kopoky,Beloha,Androy
Anjatsampa 10 H,Terahanaombitelo,Ampanihy Ouest,Ampanihy Ouest,Atsimo Andrefana
Anjatsoa 10 B,Anjantsoa,Tsikolaky,Bekily,Androy
Anjavela 10 A,Ambodiadabo M,Ambodiadabo M,Bealanana,Sofia
Anjavia 10 B,Manombo,Ankarana Miraihina,Farafangana,Atsimo Atsinanana
Anjaviabe 10 V,Andzavibe,Ambanja,Ambanja,Diana
Anjavibe 10 A,Andampikely,Ampondra,Vohemar,Sava
Anjavibe 11 B,Bobakindro,Bobakindro,Vohemar,Sava
Anjavibe 12 C,Ankazomibaboka,Sakaramy,Antsiranana II,Diana
Anjavibe 13 D,Ankazomahitsy,Milanoa,Vohemar,Sava
Anjavibe 14 F,Anjavibe,Mantaly,Ambilobe,Diana
Anjavibe 15 F,Anjavibe,Milanoa,Vohemar,Sava
Anjavidy 10 A,Anosy,Morafeno,Arivonimamo,Itasy
Anjavidy 11 C,Ambatofotsy,Ambohimandroso,Antanifotsy,Vakinankaratra
Anjavidy 12 F,Anjavidy,Antsahalava,Antanifotsy,Vakinankaratra
Anjavidy 13 F,Anjavidy,Antsahalava,Antanifotsy,Vakinankaratra
Anjavidy 14 V,Ambalavao,Ambohimandroso,Antanifotsy,Vakinankaratra
Anjavikely 10 C,Andampikely,Ampondra,Vohemar,Sava
Anjavilava 10 B,Anjavilava,Fanambana,Vohemar,Sava
Anjavimihavana 10 C,Anjavimihavana,Mahavanona,Antsiranana II,Diana
Anjavimilay 10 V,Anjavimilay,Antsakoamanondro,Ambanja,Diana
Anjavimolay 10 D,Anjavimilay,Ambakirano,Ambilobe,Diana
Anjavina 10 A,Anjarina,Ampohibe,Antalaha,Sava
Anjavindraombaka 10 C,Ambanja,Ampondra,Vohemar,Sava
Anjavindrova 10 E,Andranomatana,Antsohimbondrona,Ambilobe,Diana
Anjavy 10 A,Andampikely,Ampondra,Vohemar,Sava
Anjazafotsy 10 F,Anjazafotsy,Andranomafana,Betafo,Vakinankaratra
Anjazamangfa 10 B,Ambatomanjaka,Ambatomanjaka,Miarinarivo,Itasy
Anjeba 10 V,Anjeba,Jafaro,Ambovombe-Androy,Androy
Anjedava 10 D,Anjidava,Ankilizato,Ampanihy Ouest,Atsimo Andrefana
Anjedava 11 G,Anjedava,Marolinta,Beloha,Androy
Anjehabe 10 A,Hanahana,Fanasana,Brickaville,Atsinanana
Anjejo 10 A,Anjoma Ramartina,Anjoma Ramartina,Mandoto,Vakinankaratra
Anjeneroy 10 B,Bekako Sud,Ankilizato,Ampanihy Ouest,Atsimo Andrefana
Anjepy 10 D,Anjepy,Anjepy,Manjakandriana,Analamanga
Anjeva 10 D,Anjeva Tanana,Anjeva Gara,Antananarivo Avaradrano,Analamanga
Anjeva 10 D,Ambika,Mandrosoa,Andramasina,Analamanga
Anjeva 11 H,Anjeva Gara,Anjeva Gara,Antananarivo Avaradrano,Analamanga
Anjezika 10 A,Ambararatanaomby,Mandabe,Mahabo,Menabe
Anjezika 11 A,Voninahitrinitany,Marondry,Ankazobe,Analamanga
Anjezika 12 A,Tsisangaina,Ankazobe,Ankazobe,Analamanga
Anjezika 13 A,Ambatofotsy,Ambohimalaza Miray,Antananarivo Avaradrano,Analamanga
Anjezika 14 C,Ampotaka,Mangamila,Anjozorobe,Analamanga
Anjia 10 C,Zafindrazaka,Tsaratanana I,Port-Berge (Boriziny-Vaovao),Sofia
Anjiabe 10 A,Anjiabe,Antsiatsiaka,Mandritsara,Sofia
Anjiabe 11 A,Amparihirano,Daraina,Vohemar,Sava
Anjiabe 12 A,Antsirabe Anena,Anandrivola,Maroantsetra,Analanjirofo
Anjiabe 13 B,Betsako,Betsako,Mahajanga II,Boeny
Anjiabe 14 B,Anjiabe,Anjalazala,Antsohihy,Sofia
Anjiabe 15 B,Ambatomarako,Tsiamalao,Befandriana Nord,Sofia
Anjiabe 16 B,Isesy,Tanambao Marivorahona,Ambilobe,Diana
Anjiabe 17 C,Ambinda,Bekodoka,Besalampy,Melaky
Anjiabe 18 C,Bedamba,Bemarivo,Ambatomainty,Melaky
Anjiabe 19 C,Jaomavo Nord,Antanimbary,Maevatanana,Betsiboka
Anjiabe 20 C,Ambinanibe,Manerinerina,Ambato Boeni,Boeny
Anjiabe 21 C,Tsarafotaka,Ambodimahabibo,Port-Berge (Boriziny-Vaovao),Sofia
Anjiabe 22 C,Andavakoera,Ramena,Antsiranana II,Diana
Anjiabe 23 C,Anjiabe,Nosibe,Vohemar,Sava
Anjiabe 24 E,Ambalihabe,Bemaneviky Ouest,Ambanja,Diana
Anjiabe 25 E,,,,
Anjiabe 26 E,,,,
Anjiabe 27 E,Ambodibonara,Pont Sofia,Mandritsara,Sofia
Anjiabe 28 F,Ampondrabe,Andranomeva,Port-Berge (Boriziny-Vaovao),Sofia
Anjiabe 29 F,Anjiabe,Ampasimatera,Mampikony,Sofia
Anjiabe 30 F,Anjiabe,Andranovondronina,Antsiranana II,Diana
Anjiabe 31 A,Namoloana,Ambatoharanana,Mananara-Avaratra,Analanjirofo
Anjiabe 32 A,Anjiabe,Vanono,Mananara-Avaratra,Analanjirofo
Anjiabe 33 D,Anjiabe,Ankofabe,Maroantsetra,Analanjirofo
Anjiabe-Korao 10 B,Anjiabe,Antsalova,Antsalova,Melaky
Anjiabe-Sakalava 10 B,Anjiabe,Antsalova,Antsalova,Melaky
Anjiaboroka 10 B,Amborokontsy,Bemokotra Sud,Maintirano,Melaky
Anjiabory 10 D,Anjiabory,Ankaramy,Analalava,Sofia
Anjiabory 11 E,Anjiabory,Maevatanana,Ambanja,Diana
Anjiafotsy 10 A,Namoloana,Ambatoharanana,Mananara-Avaratra,Analanjirofo
Anjiahely 10 C,Andongona,Antsirabe Sahatany,Maroantsetra,Analanjirofo
Anjiahely 11 E,Anjiamarina,Betaramahamay,Mampikony,Sofia
Anjiajia 10 A,Anjialava,Ambodimadiro,Antsohihy,Sofia
Anjiajia 11 A,Sadjoavato,Sadjoavato,Antsiranana II,Diana
Anjiajia 12 B,Bemanevika,Antsiafabositra,Maevatanana,Betsiboka
Anjiajia 13 B,Ambodimanga,Tsinjomitondraka,Port-Berge (Boriziny-Vaovao),Sofia
Anjiajia 14 B,Anjiajia,Antonibe,Analalava,Sofia
Anjiajia 15 D,Anjiajia,Tsaratanana I,Port-Berge (Boriziny-Vaovao),Sofia
Anjiajia 16 E,Ambararatabe,Antseza,Mitsinjo,Boeny
Anjiajia 17 E,Anjiajia,Ankerika,Antsohihy,Sofia
Anjiajia 18 E,Befanivana,Anahidrano,Antsohihy,Sofia
Anjiajia 19 V,Anjiajia Centre,Anjiajia,Ambato Boeni,Boeny
Anjiajia 20 A,Beranimbo,Ampatakamaroreny,Mandritsara,Sofia
Anjiajia 21 A,Beranimbo,Ampatakamaroreny,Mandritsara,Sofia
Anjiajiabe 10 C,Tsarabaria,Tsarabaria,Vohemar,Sava
Anjiakely 10 B,Ambakoa,Ambolodia Sud,Besalampy,Melaky
Anjiakely 11 B,Anjiakely,Matsakabanja,Mitsinjo,Boeny
Anjiakely 12 B,Antohobalo,Andapa,Andapa,Sava
Anjiakely 13 D,Anjiakely,Madirovalo,Ambato Boeni,Boeny
Anjiakely 14 D,Anjiakely,Ambalajia,Maevatanana,Betsiboka
Anjiakely 15 D,Besarandrana,Tsiningia,Port-Berge (Boriziny-Vaovao),Sofia
Anjiakely 16 A,Anosy/antsahaborara,Farahalana,Sambava,Sava
Anjiakety 10 B,Anjiakely,Bemokotra,Maevatanana,Betsiboka
Anjialava 10 A,Anjialava,Ambodimadiro,Antsohihy,Sofia
Anjialava 11 B,Ambodivohitra,Anjiamangirana,Antsohihy,Sofia
Anjialava 12 C,Antananivo,Ambodisakoana,Port-Berge (Boriziny-Vaovao),Sofia
Anjialava 13 C,Anjialava,Ambodimanary,Antsohihy,Sofia
Anjialava 14 C,Mazava,Amboaboa,Mandritsara,Sofia
Anjialava 15 E,Anjialava,Anjialava,Sambava,Sava
Anjialava 16 V,Anjialava,Andranomeva,Port-Berge (Boriziny-Vaovao),Sofia
Anjialava 17 B,Ambodimandresy,Ambodimandresy,Antsohihy,Sofia
Anjialavahely 10 A,Anjialavahely,Doany,Andapa,Sava
Anjialavo 10 D,Anjialava,Tsarahasina,Port-Berge (Boriziny-Vaovao),Sofia
Anjiamahay 10 B,Berafia,Anorontsangana,Ambanja,Diana
Anjiamalandy 10 C,,,,
Anjiamaleotsy 10 B,Ankelilaly,Soanenga,Besalampy,Melaky
Anjiamananazy 10 C,Andolamoso,Ambolodia Sud,Besalampy,Melaky
Anjiamangirana 10 B,Ambodimanga Sud,Anorontsangana,Ambanja,Diana
Anjiamangirana II 10 H,Anjiamangirana II,Anjiamangirana,Antsohihy,Sofia
Anjiamangotraka 10 A,Sambaokofa,Mahabe,Besalampy,Melaky
Anjiamangotraka 10 V,Anjiamangotroka,Antalaha Ambonivohitra,Antalaha,Sava
Anjiamangotraka 12 F,Anjiamangotroka,Anahidrano,Antsohihy,Sofia
Anjiamangotroka 11 B,Ambatomainty,Ambatomainty,Ambatomainty,Melaky
Anjiamanoro 10 B,Anjiamanoro,Antafiambotry,Ambanja,Diana
Anjiamarako 10 A,Ampisikinana,Ampisikinana,Vohemar,Sava
Anjiamarango 10 D,,,,
Anjiamarina 10 A,Ambilombe,Ambilombe,Mandritsara,Sofia
Anjiamarina 11 A,Ambodihazomamy,Voloina,Maroantsetra,Analanjirofo
Anjiamarina 12 B,Anjiamarina,Betaramahamay,Mampikony,Sofia
Anjiamavo 10 B,Analovana,Fanambana,Vohemar,Sava
Anjiamavo 11 D,Anjiamavo,Ampasimatera,Mampikony,Sofia
