Point,Fokontany,Commune,District,Region
67 Ha 10 V,67ha Avaratra Andrefana,1er Arrondissement,1er Arrondissement,Analamanga
Abahimpo 10 B,Ambilomaro,Ambohimanambola,Betafo,Vakinankaratra
Abeamalo 10 A,Miary Centre,Ankazoabo Sud,Ankazoabo,Atsimo Andrefana
Abedinta 10 B,Andasibe Avaratra,Ambatolaona,Manjakandriana,Analamanga
Abehazo 10 A,Ambalamanga,Masoarivo,Antsalova,Melaky
Abekitrana 10 A,Sahavanana,Maroseranana,Brickaville,Atsinanana
Abetrabatra 10 B,Ambodilazana,Ambodilazana,Toamasina II,Atsinanana
Abevola 10 A,Ambodimolaina,Anivorano Est,Brickaville,Atsinanana
Abinaninitsarabanjina 10 C,Malamamaina,Ankarongana,Befandriana Nord,Sofia
Abobono 10 A,Andolobe,Soaloka,Miandrivazo,Menabe
Abohidavakely 10 C,Andilanomby,Manakambahiny Andrefana,Ambatondrazaka,Alaotra Mangoro
Abomary 10 E,Anezandava,Matanga,Vangaindrano,Atsimo Atsinanana
Abomary 11 F,Beteny,Ankarana Miraihina,Farafangana,Atsimo Atsinanana
Aborano 10 A,Vohitsoa,Tsianofana,Vangaindrano,Atsimo Atsinanana
Aborano 11 B,Ankerabe Nord,Berevo/ranobe,Maintirano,Melaky
Aborano 12 C,Anjaloaky,Anontsibe Centre,Manja,Menabe
Aborano 13 C,Bevahy,Ambia,Mahabo,Menabe
Aborano 14 D,Mandabe,Mandabe,Mahabo,Menabe
Aborano 15 E,Soatanana,Mikoboka,Sakaraha,Atsimo Andrefana
Aboronga 10 B,Tanambao II,Ampataka,Vangaindrano,Atsimo Atsinanana
Aborotsy 10 A,Milomboke,Ankazombalala,Betioky Atsimo,Atsimo Andrefana
Aborotsy 11 C,Tanandava Ifantso,Miary Taheza,Sakaraha,Atsimo Andrefana
Abotsy 10 C,Sahalampona,Fetraomby,Brickaville,Atsinanana
Abozoma A 10,Tsararano,Iara,Vangaindrano,Atsimo Atsinanana
Adabe 10 D,Fihasinana,Solila,Ikalamavony,Haute Matsiatra
Adabo 10 D,Manara,Ambinaniroa,Ambalavao,Haute Matsiatra
Adabodo 10 D,Adabodo,Vatolatsaka,Betioky Atsimo,Atsimo Andrefana
Adabofolo 10 B,Adabofolo,Bereketa,Sakaraha,Atsimo Andrefana
Adabolava 10 B,Bebaboka Sud,Bebaboky Sud,Maintirano,Melaky
Adabolava 11 B,Bemarivo,Bemarivo,Ambatomainty,Melaky
Adaboloaky 10 B,Antsavoa,Anontsibe Centre,Manja,Menabe
Adabomahebo 10 B,Ambohibary,Itondy,Miandrivazo,Menabe
Adabomionga 10 B,Kiliarivo Sakaraha,Sakaraha,Sakaraha,Atsimo Andrefana
Adaboroy 10 B,Andanoa,Fitampito,Ikalamavony,Haute Matsiatra
Adabotelo 10 C,Mandabe Manatsahala,Mandrosonoro,Ambatofinandrahana,Amoron I Mania
Adabotokana 10 C,Bemarivo,Bemarivo,Ambatomainty,Melaky
Adabotokana 11 C,Tanambao,Ambatomainty,Ikalamavony,Haute Matsiatra
Adabotokana 12 I,Antanamazava Gvt,Mantaly,Ambilobe,Diana
Adabozato 10 V,Adabozato,Isalo,Miandrivazo,Menabe
Adalavoky 10 B,Soafierenana,Anosiarivo Manapa,Betafo,Vakinankaratra
Adambomitro 10 A,Betioky,Ambohimalaza,Ambovombe-Androy,Androy
Adilambola A 10,Antanandava,Antenina,Soanierana Ivongo,Analanjirofo
Adilamena 10 B,Betaikankana,Ambodiampana,Bealanana,Sofia
Adranomangarangarana A 10,Ambodijoho,Soakibany,Midongy-Atsimo,Atsimo Atsinanana
Adriamora 10 C,Andriamora,Iakora,Iakora,Ihorombe
Afaho 10 D,Afaho,Amboditavolo,Vatomandry,Atsinanana
Afandrinatody 10 B,Ambodimanga,Ambohibary,Moramanga,Alaotra Mangoro
Afarisoky 10 B,Bevantaza,Befasy,Morondava,Menabe
Afidasiana 10 G,Amboangivy,Ambohimasina,Arivonimamo,Itasy
Agnanivo 10 A,Betioky,Ambohimalaza,Ambovombe-Androy,Androy
Ahafano 10 D,Ankarahara,Ambohibary,Moramanga,Alaotra Mangoro
Ahamazina 10 A,Befotsy,Ambohibary,Moramanga,Alaotra Mangoro
Ahara 10 C,Anara,Vohitsaoka,Ambalavao,Haute Matsiatra
Ahatolahy 10 A,Soafandry,Anjoma Nandihizana,Manandriana,Amoron I Mania
Ahatsira 10 B,Antsira,Bekapaika,Tsaratanana,Betsiboka
Ahilabe 10 A,Ambohimitsinjo,Tsarahonenana,Befandriana Nord,Sofia
Ahiso 10 C,Aniso,Tsarazaza,Fandriana,Amoron I Mania
Ahoditrova 10 A,Marimarina,Vohipeno Razanaka,Brickaville,Atsinanana
Ahondrona 10 B,Sahanintsina,Ambalabe,Vatomandry,Atsinanana
Aikiambo 10 C,Sangasanga,Andranovorivato,Vohibato,Haute Matsiatra
Aikomoso 10 C,Ankiazolahivato,Mahazony,Ambalavao,Haute Matsiatra
Aja 10 B,Ambatobe,Ianabinda,Betroka,Anosy
Ajidava 10 A,Morarano,Befotaka Sud,Befotaka,Atsimo Atsinanana
Akaboka-Antsahavory 10 A,Ambilorano,Ankavandra,Miandrivazo,Menabe
Akadikana 10 D,Ankadindambo,Ivoamba,Lalangina,Haute Matsiatra
Akafotsa 10 B,Antanimavo,Amborompotsy,Ampanihy Ouest,Atsimo Andrefana
Akafotsa 11 D,Antanimavo,Amborompotsy,Ampanihy Ouest,Atsimo Andrefana
Akajakely 10 E,Ambatoharanana,Andrainjato Sud,Fianarantsoa I,Haute Matsiatra
Akaka 10 B,Sahafatra,Talata Vohimena,Manandriana,Amoron I Mania
Akaka 11 E,Fenoarivo,Ambondrona,Isandra,Haute Matsiatra
Akakako 10 C,Fierana,Ambondrona,Isandra,Haute Matsiatra
Akalilana 10 B,Ambalamahatsinjo,Zazafotsy,Ihosy,Ihorombe
Akalomboro 10 D,Maromiandra Sud,Bemavo,Beroroha,Atsimo Andrefana
Akanga 10 C,Sahafatra,Talata Vohimena,Manandriana,Amoron I Mania
Akangavanda 10 B,Ankeniheny,Mahabo,Betroka,Anosy
Akaniotsarakato 10 B,Vohidroy,Fenoarivo,Farafangana,Atsimo Atsinanana
Akanjo 10 B,Tanambao,Ambohimilanja,Marolambo,Atsinanana
Akapity 10 D,Marovato Kapity,Ambalavato Antevato,Farafangana,Atsimo Atsinanana
Akarinaomby 10 B,Sahamandresy,Talata Vohimena,Manandriana,Amoron I Mania
Akatikana 10 C,Analamasina,Alakamisy Ambohimaha,Lalangina,Haute Matsiatra
Akatsakafo C 10,Ampasimadinikakely,Maroharatra,Ifanadiana,Vatovavy Fitovinany
Akavika 10 B,Alatsinainy Ialamarina,Alatsinainy Ialamarina,Lalangina,Haute Matsiatra
Akazomanga 10 A,Sahafatra,Talata Vohimena,Manandriana,Amoron I Mania
Akazomanga 11 F,Ankazomanga Ouest,Ankazomanga Ouest,Betioky Atsimo,Atsimo Andrefana
Akazotana 10 B,Ambohimanana,Fenoarivo,Ambatofinandrahana,Amoron I Mania
Akazotsora 10 A,Fenoarivo,Fenoarivo,Ambatofinandrahana,Amoron I Mania
Akeba 10 B,Ankeba Ouest,Anteza,Manakara Atsimo,Vatovavy Fitovinany
Akeba 11 C,Ankeba Ouest,Anteza,Manakara Atsimo,Vatovavy Fitovinany
Akerana 10 B,Imorona,Sahambavy,Lalangina,Haute Matsiatra
Akidao 10 C,Ambohipana,Ambovombe Centre,Manandriana,Amoron I Mania
Akidina 10 A,Ankaritsinanana,Andranovorivato,Vohibato,Haute Matsiatra
Akifafa 10 E,Ankofafalahy Ambany,Manolafaka,Fianarantsoa I,Haute Matsiatra
Akifilona 10 B,Ranomainty,Alakamisy Marososona,Betafo,Vakinankaratra
Akilizato 10 B,Soatana,Andramy,Morafenobe,Melaky
Akimba 10 C,Antaniditra,Anjoma Nandihizana,Manandriana,Amoron I Mania
Akinana 10 A,Soafandry,Anjoma Nandihizana,Manandriana,Amoron I Mania
Akindry 10 A,Ampatora,Fandriana,Fandriana,Amoron I Mania
Akisira 10 E,Tsianaloka,Ankilizato,Mahabo,Menabe
Akitranovato 10 A,Antaniditra,Anjoma Nandihizana,Manandriana,Amoron I Mania
Akizana 10 A,Boro,Anjoma Nandihizana,Manandriana,Amoron I Mania
Akoakala 10 A,Veromanga,Veromanga,Maintirano,Melaky
Akobabaky 10 A,Soarano,Lazarivo,Betioky Atsimo,Atsimo Andrefana
Akohoroa 10 C,Andranomainty,Kelilalina,Ifanadiana,Vatovavy Fitovinany
Akondrokely 10 B,Andohala,Betatao,Anjozorobe,Analamanga
Akondromalaza 10 F,Bemahalanja,Ambalavao,Ambalavao,Haute Matsiatra
Akondronisedy 10 B,Bemavo,Andriamena,Tsaratanana,Betsiboka
Akondronjavatra 10 D,Ambohimanarivo,Vinaninony Atsimo,Faratsiho,Vakinankaratra
Akondrotokana C 10,Fenomanta,Vohidahy,Ambositra,Amoron I Mania
Akondrovaza 10 B,Tsaramandroso Felimaha,Ambohimandroso,Ambalavao,Haute Matsiatra
Akopaka 10 B,Ranomena,Alatsinainy Ialamarina,Lalangina,Haute Matsiatra
Akorabe 10 C,Soafandry,Anjoma Nandihizana,Manandriana,Amoron I Mania
Akoramay A 10,Ambalateny,Ranomena,Vangaindrano,Atsimo Atsinanana
Akoreky 10 A,Ambindamahery,Isoanala,Betroka,Anosy
Akorera 10 E,Siranana,Beramanja,Ambilobe,Diana
Akotoko 10 B,Anjamambe,Alatsinainy Ialamarina,Lalangina,Haute Matsiatra
Akotrifotsy 10 C,Tanandava,Behisatsy,Beroroha,Atsimo Andrefana
Akotro 10 I,Ambalatany,Ilaka Centre,Ambositra,Amoron I Mania
Akotro 11 A,Ampidirana,Ambohimitombo II,Ambositra,Amoron I Mania
Aladjara 10 D,Filanjara,Ankilizato,Mahabo,Menabe
Alahady 10 E,Alahady,Ramainandro,Faratsiho,Vakinankaratra
Alahakondro 10 B,Salalangy,Anandravy,Vondrozo,Atsimo Atsinanana
Alakambato 10 C,Ampahitra,Ambohibary,Moramanga,Alaotra Mangoro
Alakamisy 10 H,Ivato Centre,Ivato,Ambositra,Amoron I Mania
Alakamisy 10 V,Soamanandrariny,Alakamisy Anativato,Betafo,Vakinankaratra
Alakamisy 11 A,Alakamisy,Tsarazaza,Fandriana,Amoron I Mania
Alakamisy 11 V,Iary,Sandrandahy,Fandriana,Amoron I Mania
Alakamisy 12 A,Ambodiara,Ambinanindrano,Ambositra,Amoron I Mania
Alakamisy 13 B,Ambatomena,Anosiala,Ambohidratrimo,Analamanga
Alakamisy 14 B,Ambohimasina,Alakamisy Fenoarivo,Antananarivo Atsimondrano,Analamanga
Alakamisy 15 C,Ambohijafy,Analavory,Miarinarivo,Itasy
Alakamisy 16 C,Tsaramandroso Felimaha,Ambohimandroso,Ambalavao,Haute Matsiatra
Alakamisy 17 C,Vohidroa,Ambinanindovoka,Ambalavao,Haute Matsiatra
Alakamisy 18 C,Amby,Tsarazaza,Fandriana,Amoron I Mania
Alakamisy 19 C,Ambohimanga Rova,Ambohimanga Rova,Antananarivo Avaradrano,Analamanga
Alakamisy 20 E,Antamponala,Sadabe,Manjakandriana,Analamanga
Alakamisy 21 E,Ambohitrolomahitsy,Ambohitrolomahitsy,Manjakandriana,Analamanga
Alakamisy 22 F,Soaronono,Analavory,Miarinarivo,Itasy
Alakamisy 23 F,Alakamisy,Alakamisy,Anjozorobe,Analamanga
Alakamisy 24 G,Alakamisy Andrianovona,Manohisoa,Betafo,Vakinankaratra
Alakamisy Ambohima 25 G,Itsangana I,Alakamisy Ambohimaha,Lalangina,Haute Matsiatra
Alakamisy Isorana 10 V,Alakamisy Ambohimaha,Alakamisy Ambohimaha,Lalangina,Haute Matsiatra
Alakamisy Itenina 10 V,Alakamisy Itenina,Alakamisy Itenina,Vohibato,Haute Matsiatra
Alakaria 10 A,Ambalaromba,Tsiatosika,Mananjary,Vatovavy Fitovinany
Alamarina 10 D,Ankazotana,Mahazoarivo,Isandra,Haute Matsiatra
Alarobia - Befeta 10 C,Tsimanavakavaka,Befeta,Ambohimahasoa,Haute Matsiatra
Alarobia 10 A,Andrakodavaka,Ambano,Antsirabe II,Vakinankaratra
Alarobia 10 V,Alarobia Amboniloha,5e Arrondissement,5e Arrondissement,Analamanga
Alarobia 11 A,Ambanitsena,Ambanitsena,Manjakandriana,Analamanga
Alarobia 11 V,Ambodivoanjo Ambohijatovo Fara,5e Arrondissement,5e Arrondissement,Analamanga
Alarobia 12 A,Ampanataovana,Behenjy,Ambatolampy,Vakinankaratra
Alarobia 12 V,Alarobia,Alarobia,Manjakandriana,Analamanga
Alarobia 13 A,Larobia Andapa,Mangarivotra,Moramanga,Alaotra Mangoro
Alarobia 14 A,Alarobia Vatosola,Alarobia Vatosola,Andramasina,Analamanga
Alarobia 15 B,Mangarivotra,Miandrarivo,Faratsiho,Vakinankaratra
Alarobia Ambovombe 10 V,Alarobia Andalandranobe,Ambovombe Centre,Manandriana,Amoron I Mania
Alarobian Ambohimiadana D 10,Masindray Tsaramiera,Alarobia Vatosola,Andramasina,Analamanga
Alatsilainy 10 F,Alatsinainy,Merimandroso,Ambohidratrimo,Analamanga
Alatsinainin'Ambanimaso 10 A,Tongasoa Ambanimaso,Mandrosohasina,Antsirabe II,Vakinankaratra
Alatsinainy 10 A,Ambohimanambola,Amboanana,Arivonimamo,Itasy
Alatsinainy 11 D,Alatsinainy Loharano,Imerintsiatosika,Arivonimamo,Itasy
Alatsinainy 12 D,Miarinarivo,Tsarasaotra,Ambositra,Amoron I Mania
Alatsinainy 13 D,Ambohimalaza,Antsahalava,Antanifotsy,Vakinankaratra
Alatsinainy 14 I,Andafiatsimo,Ambatolampy,Ambatolampy,Vakinankaratra
Alatsinainy-Fandandrava 10 V,Andaobatobe,Alatsinainy Ialamarina,Lalangina,Haute Matsiatra
Alazana 10 B,Ambodibonara,Fanandrana,Toamasina II,Atsinanana
Aliona 10 A,Ambohimanana,Ambohimanana,Brickaville,Atsinanana
Aloalofotaka 10 C,Belalitse,Betioky Atsimo,Betioky Atsimo,Atsimo Andrefana
Alohamanga B 10,Ampefivato,Iara,Vangaindrano,Atsimo Atsinanana
Alohanosy 10 B,Mahabo,Maheriraty,Farafangana,Atsimo Atsinanana
Alotsakanga 10 B,Ankavola,Tameantsoa,Betioky Atsimo,Atsimo Andrefana
Alovingo 10 A,Ambodilendemy,Maroseranana,Brickaville,Atsinanana
Ama 10 C,Manampy,Iarintsena,Ambalavao,Haute Matsiatra
Amafandry 10 B,Andamoty,Imongy,Tsihombe,Androy
Amafiamavo 10 B,Beara,Masiaboay,Betioky Atsimo,Atsimo Andrefana
Amahaimandry 10 E,Anjiro,Sabotsy Anjiro,Moramanga,Alaotra Mangoro
Amahariva 10 A,Amboasary Nord,Amboasary Nord,Anjozorobe,Analamanga
Amaikomby 10 B,Kilibory II,Androka,Ampanihy Ouest,Atsimo Andrefana
Amaitsofady 10 B,Mahitsitady,Ambato,Ambohidratrimo,Analamanga
Amamba 10 B,Ambatomanga,Ambatomanga,Manjakandriana,Analamanga
Amana 10 A,Ambalaforona,Ampasimbe,Brickaville,Atsinanana
Amana I 10 A,Ambodivandrika,Niherenana,Vatomandry,Atsinanana
Amana II 10 A,Ambalavary,Niherenana,Vatomandry,Atsinanana
Amanamby 10 A,Betsinefo Ouest,Ankazoabo Sud,Ankazoabo,Atsimo Andrefana
Amanda 10 A,Amanda,Analaliry,Ihosy,Ihorombe
Amanda 11 A,Befihamy Ihosy,Esira,Amboasary-Atsimo,Anosy
Amanda 12 B,Ambatolahy,Mahabo,Betroka,Anosy
Amanda 13 C,Befamata,Ambalavato,Benenitra,Atsimo Andrefana
Amanda 14 C,Amanda II,Betanty (Faux Cap),Tsihombe,Androy
Amanda 15 C,Amboliala,Ianabinda,Betroka,Anosy
Amanda 16 D,Tsotabato,Ankavandra,Miandrivazo,Menabe
Amanda 17 F,Ampanamperandrotsy Sud,Belindo Mahasoa,Bekily,Androy
Amanda 18 A,Ampasy,Ivondro,Midongy-Atsimo,Atsimo Atsinanana
Amando 10 C,Ampasimazava,Beforona,Moramanga,Alaotra Mangoro
Amandrovany 10 C,Mandrivany,Kelilalina,Ifanadiana,Vatovavy Fitovinany
Amanendraka 10 C,Antseta,Marovato,Tsihombe,Androy
Amanga 10 A,Benono,Mahasoa Est,Betroka,Anosy
Amanga 11 D,Soanenga,Soanenga,Besalampy,Melaky
Amangabe 10 B,Ambatolafia,Ambohipaky,Soalala,Boeny
Amantsia Sud 10 C,Rangainomby,Ankiliabo,Manja,Menabe
Amapasamihaika 10 V,Ankabahaba,Mandritsara,Betafo,Vakinankaratra
Amatalanjo 10 B,Sakasarotra,Manandaza,Miandrivazo,Menabe
Amatsia Nord 10 C,Rangainomby,Ankiliabo,Manja,Menabe
Amaviavy 10 A,Mahatalaky Eroanga,Mahatalaky,Taolagnaro,Anosy
Ambabaky 10 B,Tetezananahary,Veromanga,Maintirano,Melaky
Ambabaky 11 B,Antsakoamaro,Ampako,Besalampy,Melaky
Ambabaky 12 B,Behena,Andranomavo,Soalala,Boeny
Ambabaky 13 C,Ambabaky,Berenty,Ankazoabo,Atsimo Andrefana
Ambabato 10 C,Sahavahona,Vohitrarivo,Ambohimahasoa,Haute Matsiatra
Ambabo 10 B,Vinanitelo Sud,Vinanitelo,Vohibato,Haute Matsiatra
Ambabo 11 B,Sandranata,Vinanitelo,Vohibato,Haute Matsiatra
Ambafaho 10 A,Antsatrabevoa,Bemanondrobe,Nosy-Be,Diana
Ambaha 10 A,Ankaditany,Ambatosoa,Ambohimahasoa,Haute Matsiatra
Ambahaka 10 D,Ambahaka,Kalafotsy,Ikongo,Vatovavy Fitovinany
Ambahalo 10 G,Mandaratsy,Mahasoabe,Vohibato,Haute Matsiatra
Ambahamahavelona 10 B,Teloambinifolo,Ambalavao,Ambalavao,Haute Matsiatra
Ambahandrano 10 C,Fiadanana Sud,Mahabo,Ambohidratrimo,Analamanga
Ambaharana 10 B,Besihara,Alatsinainy Ialamarina,Lalangina,Haute Matsiatra
Ambahary 10 C,Ambahary,Manerinerina,Ambato Boeni,Boeny
Ambahatra 10 V,Ambahatra,Bemaneviky Haut Sambirano,Ambanja,Diana
Ambahatrazo 10 B,Ambahatrazo,Ambahatrazo,Manakara Atsimo,Vatovavy Fitovinany
Ambahatrazo 11 C,Betalatala,Miandrivazo,Miandrivazo,Menabe
Ambahatsy 10 A,Fenoandala,Enakara-Haut,Taolagnaro,Anosy
Ambahatsy 11 B,Ambahatsy II,Andamasiny Vineta,Sakaraha,Atsimo Andrefana
Ambahatsy 12 B,Ambahatsy,Ivongo,Ivohibe,Ihorombe
Ambahavao 10 C,Mahatsara,Isaka,Ambohimahasoa,Haute Matsiatra
Ambahena 10 C,Antafiambe,Antsirabe Nord,Vohemar,Sava
Ambahevahe 10 C,Ambahivahy,Beheloka,Toliary-II,Atsimo Andrefana
Ambahia 10 F,Ambahia,Ankiliabo,Manja,Menabe
Ambahiandrefana 10 D,Ambohibemasoandro,Ambohitrolomahitsy,Manjakandriana,Analamanga
Ambahibe 10 B,Mandroatsy Bara,Andrea,Maintirano,Melaky
Ambahibe 11 B,Mandroatsy Bara,Andrea,Maintirano,Melaky
Ambahibe 12 B,Ambararata,Antsondrodava,Maintirano,Melaky
Ambahibe 13 B,Arindrano,Antsalova,Antsalova,Melaky
Ambahibe 14 C,Trangahy,Trangahy,Antsalova,Melaky
Ambahibe 15 C,Tsianaloka,Ankilizato,Mahabo,Menabe
Ambahibe 16 F,Fenoarivo,Mazavasoa,Mahabo,Menabe
Ambahibe Est 10 D,Ambahibe,Amparihy,Port-Berge (Boriziny-Vaovao),Sofia
Ambahibe Ouest 10 D,Ambahibe,Amparihy,Port-Berge (Boriziny-Vaovao),Sofia
Ambahibo 10 A,Antsakoana,Amparafaravola,Amparafaravola,Alaotra Mangoro
Ambahibo 11 A,Andilanatoby,Andilanatoby,Ambatondrazaka,Alaotra Mangoro
Ambahibo 12 B,Tsaranoro,Ambalavao,Ambalavao,Haute Matsiatra
Ambahibo 13 B,Iambara,Androy,Lalangina,Haute Matsiatra
Ambahibo 14 B,Ambatoharanana,Ambato,Ambohidratrimo,Analamanga
Ambahibo 15 C,Ambohitsilaozana,Ambohitsilaozana,Ambatondrazaka,Alaotra Mangoro
Ambahibohobe 10 B,Bevoay,Sakoamadinika,Tsaratanana,Betsiboka
Ambahibosoatsiavela 10 B,Vohidahy,Kirano,Ambalavao,Haute Matsiatra
Ambahibotsara 10 A,Bevinoa,Ankavandra,Miandrivazo,Menabe
Ambahidrakaka 10 A,Ambalakondro,Sahambala,Toamasina II,Atsinanana
Ambahigogo 10 E,Ambohigogo,Ambohigogo,Farafangana,Atsimo Atsinanana
Ambahihamba A 10,Antaramihery,Soakibany,Midongy-Atsimo,Atsimo Atsinanana
Ambahihy 10 C,Tsinjorano,Ambohimiera,Ifanadiana,Vatovavy Fitovinany
Ambahihy 11 E,Ambahihy,Emagnobo,Taolagnaro,Anosy
Ambahikarabo 10 B,Vohitrandiana,Antetezambaro,Toamasina II,Atsinanana
Ambahikarabo 11 C,Ankazoharaka,Antodinga,Ikongo,Vatovavy Fitovinany
Ambahikely 10 B,Etrotroka,Etrotroka Atsimo,Farafangana,Atsimo Atsinanana
Ambahikily 10 V,Ambahikily,Ambahikily,Morombe,Atsimo Andrefana
Ambahimalitsy 10 C,Ambahimalitsy,Miary Lamatihy,Sakaraha,Atsimo Andrefana
Ambahimanarina 10 B,Ambohimahavelona,Tolongoina,Ikongo,Vatovavy Fitovinany
Ambahimena 10 E,Lovainjafy,Ambohipihaonana,Ambatolampy,Vakinankaratra
Ambahimerana 10 A,Ambahimerana,Tsarazaza,Fandriana,Amoron I Mania
Ambahinika B 10,Vohilava,Vohilava,Mananjary,Vatovavy Fitovinany
Ambahinkarabo 10 C,Ambahinkarabo,Belaoka Lokoho,Andapa,Sava
Ambahipiky 10 B,Vohilava,Ampasimalemy,Vangaindrano,Atsimo Atsinanana
Ambahipiky 11 E,Mahavelo,Iabohazo,Farafangana,Atsimo Atsinanana
Ambahipo 10 V,Maititondro Lovasoa,Ivony Miaramiasa,Ambositra,Amoron I Mania
Ambahita 10 B,Tsimirandra,Antsaidoha Bebao,Maintirano,Melaky
Ambahita 11 B,Maninday I,Ambinany,Sakaraha,Atsimo Andrefana
Ambahita 12 B,Ilakaka,Ilakaka,Ihosy,Ihorombe
Ambahita 13 G,Ambahita Centre,Ambahita,Bekily,Androy
Ambahitra 10 A,Ambahatra,Ambararatabe,Tsiroanomandidy,Bongolava
Ambahitrakoa 10 E,Antsetaky,Tsaraotana,Belo Sur Tsiribihina,Menabe
Ambahitrimiranotra 10 D,Ambohitrinilanitra,Ampanotokana,Ambohidratrimo,Analamanga
Ambahivahibe 10 B,Ambahivahibe,Befasy,Morondava,Menabe
Ambahivahibekely 10 A,Ambahivahibe,Befasy,Morondava,Menabe
Ambahivahy - Bas 10 B,Ambahivahy Haut,Morafeno,Befandriana Nord,Sofia
Ambahivahy 10 A,,,,
Ambahivahy 11 A,Tsarabaria,Tsarabaria,Vohemar,Sava
Ambahivahy 12 B,Ambahivahy,Bekodoka,Besalampy,Melaky
Ambahivahy 13 B,Ambahivahy,Amborompotsy,Ampanihy Ouest,Atsimo Andrefana
Ambahivahy 14 B,Ambahivahy,Amborompotsy,Ampanihy Ouest,Atsimo Andrefana
Ambahivahy 15 B,Ambahavaha,Madirovalo,Ambato Boeni,Boeny
Ambahivahy 16 C,Ambahivahy,Ambararatabe Nord,Bealanana,Sofia
Ambahivahy 17 D,Ambahivahy,Antsaidoha Bebao,Maintirano,Melaky
Ambahivahy 18 D,Ambahivahy,Ambatomainty,Ambatomainty,Melaky
Ambahivahy 19 E,Ambahivahy,Morafenobe,Morafenobe,Melaky
Ambahivany 10 B,Ambahivahy,Antsirabe Centre,Mandritsara,Sofia
Ambahiza 10 A,Ambahija,Analamisampy,Toliary-II,Atsimo Andrefana
Ambaho - Ento 10 C,Analahova,Soanierana,Taolagnaro,Anosy
Ambaho 10 B,Ambaho,Analaliry,Ihosy,Ihorombe
Ambaho 11 C,Ambaho,Ambinaniroa,Ambalavao,Haute Matsiatra
Ambaho 12 C,Tranoambo,Mandiso,Taolagnaro,Anosy
Ambahoabe 10 B,Ambahoabe,Ambahoabe,Soanierana Ivongo,Analanjirofo
Ambahobe 10 E,Ambahobe,Marerano,Beroroha,Atsimo Andrefana
Ambahoha 10 D,Mahasoa,Namorona,Mananjary,Vatovavy Fitovinany
Ambahona 10 B,Ambohitraivo,Andranomiady,Faratsiho,Vakinankaratra
Ambahona 11 B,Ambalatenina,Andekaleka,Brickaville,Atsinanana
Ambahona 12 C,Ampahimanga,Ampahimanga,Arivonimamo,Itasy
Ambahona 13 V,Ambahona,Antoetra,Ambositra,Amoron I Mania
Ambahondrano 10 A,Ambondrona,Andriambilany,Ambatolampy,Vakinankaratra
Ambahondrano 11 B,Andanoa,Fitampito,Ikalamavony,Haute Matsiatra
Ambahondrano 12 B,Lohanandro,Andriambilany,Ambatolampy,Vakinankaratra
Ambahondrano 13 C,Tsiromboina,Ambohinamboarina,Ambohimahasoa,Haute Matsiatra
Ambahondrano 14 G,Anavozo,Ambatofinandrahana,Ambatofinandrahana,Amoron I Mania
Ambahondrano Nord 10 D,Ambahondrano,Belambo Firaisana,Ambatolampy,Vakinankaratra
Ambahondrano Sud 10 E,Ambahondrano,Belambo Firaisana,Ambatolampy,Vakinankaratra
Ambahotelo 10 C,Mirary,Ambovombe Centre,Manandriana,Amoron I Mania
Ambahovelo 10 B,Miary Soalengo,Soaserana,Manja,Menabe
Ambahy 10 C,Ambahy Ianakafy,Sampona,Amboasary-Atsimo,Anosy
Ambahy 11 C,Ifasina,Itremo,Ambatofinandrahana,Amoron I Mania
Ambahy 12 C,Tanandava,Antsiatsiaka,Fenerive Est,Analanjirofo
Ambahy 13 B,Ambodibonara,Ampasimbe Manantsatrana,Fenerive Est,Analanjirofo
Ambaibo 10 B,Ambohitsimamory,Satrokala,Ihosy,Ihorombe
Ambaibo 11 B,Ampiha,Tsivory,Amboasary-Atsimo,Anosy
Ambaibo 12 B,Tanambao,Ambakireny,Tsaratanana,Betsiboka
Ambaibo 13 C,,,,
Ambaibo 14 C,Ambaibo,Maromandia,Analalava,Sofia
Ambaibo 15 D,Mahasoa I,Vohimarina,Vohibato,Haute Matsiatra
Ambaibo 16 D,Riambary,Alakamisy Itenina,Vohibato,Haute Matsiatra
Ambaibo 17 E,Ambaibo,Ambaliha,Analalava,Sofia
Ambaibo 18 F,Anja,Iarintsena,Ambalavao,Haute Matsiatra
Ambaibo 19 F,Ambaibo,Ankarimbary,Vohipeno,Vatovavy Fitovinany
Ambaibo Sambao 10 B,Antsakoazato,Besalampy,Besalampy,Melaky
Ambaiboa 10 C,Ambaiboho,Sarobaratra Ifanja,Miarinarivo,Itasy
Ambaiboabe 10 B,Antanandava,Ambohitromby,Fenoarivobe,Bongolava
Ambaiboabe 11 C,Bemanevika,Antsiafabositra,Maevatanana,Betsiboka
Ambaiboakely 10 A,Andranomavokely,Ambohitromby,Fenoarivobe,Bongolava
Ambaibobe 10 B,Andolobe,Ankasakasa Tsibiray,Besalampy,Melaky
Ambaiboho 10 H,Ambaiboa,Morarano Chrome,Amparafaravola,Alaotra Mangoro
Ambaimbera B 10,Ambodivolafotsy,Ampandroantraka,Anosibe-An'ala,Alaotra Mangoro
Ambaino 10 A,Antanamitarana,Dzamandzar,Nosy-Be,Diana
Ambaiorata 10 A,Ankoromokoty,Bemokotra Sud,Maintirano,Melaky
Ambajoana 10 A,Morafeno,Betsiaka,Ambilobe,Diana
